,Hazard,Impacts,Mitigation,Causes,Invalid
2025-09-24,0.0,5.0,0.0,0.0,1.0
2025-09-25,0.0,0.0,0.0,0.0,1.0
2025-09-26,0.0,3.0,0.0,0.0,0.0
2025-09-29,2.0,4.0,0.0,0.0,1.0
2025-09-30,1.0,2.0,0.0,0.0,2.0
2025-10-01,0.0,1.0,0.0,0.0,0.0
2025-10-02,1.0,1.0,0.0,0.0,1.0
2025-10-03,0.0,0.0,1.0,0.0,0.0
2025-10-04,2.0,2.0,0.0,0.0,0.0
2025-10-05,3.0,2.0,0.0,0.0,0.0
2025-10-06,0.0,1.0,0.0,0.0,0.0
2025-10-08,0.0,0.0,0.0,0.0,2.0
2025-10-10,0.0,0.0,0.0,0.0,2.0
2025-10-11,1.0,0.0,0.0,1.0,0.0
2025-10-12,0.0,0.0,0.0,0.0,1.0
2025-10-13,0.0,0.0,0.0,0.0,2.0
2025-10-14,0.0,0.0,0.0,0.0,1.0
2025-10-15,0.0,0.0,0.0,0.0,1.0
2025-10-16,0.0,0.0,0.0,0.0,1.0
2025-10-18,0.0,0.0,1.0,0.0,0.0
2025-10-19,0.0,0.0,0.0,0.0,1.0
2025-10-20,0.0,0.0,0.0,0.0,3.0
2025-10-21,5.0,0.0,1.0,0.0,1.0
2025-10-22,2.0,0.0,0.0,0.0,0.0
2025-10-23,4.0,8.0,4.0,0.0,0.0
2025-10-24,2.0,11.0,2.0,0.0,2.0
2025-10-25,2.0,0.0,0.0,0.0,2.0
2025-10-26,1.0,0.0,0.0,0.0,1.0
2025-10-27,0.0,2.0,0.0,0.0,0.0
2025-10-28,0.0,12.0,1.0,4.9,1.0
2025-10-29,0.0,10.0,1.0,0.0,0.0
2025-10-30,0.0,8.0,1.0,2.0,0.0
2025-10-31,0.0,8.0,1.0,0.0,4.0
2025-11-01,0.0,0.0,0.0,0.0,2.7
2025-11-02,0.0,0.0,0.0,0.0,4.5
2025-11-03,0.0,1.0,0.0,0.0,0.9
2025-11-04,0.0,3.0,0.0,1.0,2.7
2025-11-05,0.0,7.0,0.0,0.0,2.7
2025-11-06,0.0,1.0,0.0,0.0,0.9
2025-11-07,1.0,3.6,0.0,0.0,6.300000000000001
2025-11-08,9.000000000000002,2.4000000000000004,0.0,0.0,1.8
2025-11-09,8.100000000000001,4.8,0.0,0.0,7.200000000000001
2025-11-10,0.0,1.6,0.0,0.0,5.4
2025-11-11,0.9,0.8,0.0,0.0,0.0
2025-11-12,0.9,0.0,0.0,0.0,1.8
2025-11-13,0.9,0.0,0.0,0.0,0.0
2025-11-15,5.300000000000001,3.5,0.0,0.9,0.0
2025-11-16,0.0,2.4000000000000004,0.0,0.0,0.0
2025-11-17,5.4,0.0,0.0,0.0,0.0
2025-11-18,1.8,0.0,0.0,0.0,0.0
2025-11-20,1.8,0.0,0.0,0.0,0.0
2025-11-22,1.8,0.0,0.0,0.0,0.0
2025-11-24,0.9,0.0,0.0,0.0,0.0
2025-11-25,2.7,0.0,0.0,0.0,0.0
2025-11-29,1.8,0.0,0.0,0.0,0.0
2025-12-05,0.0,0.8,0.0,0.0,0.0
